No.,ユーザーストーリーID,ユーザーストーリー,要件ID,機能一覧,機能詳細（完了状態）
1,US001,ユーザーは組織情報を登録できる,FN001,オンボーディング画面,"アプリ初回アクセス時にウェルカム画面を表示。「3ステップで始めましょう」のガイド表示"
1,,,FN002,業種選択,"ドロップダウンで業種を選択（IT/金融/製造/医療/小売/その他）"
1,,,FN003,組織規模入力,"従業員数を選択（1-50名/51-300名/301-1000名/1001名以上）"
1,,,FN004,AI利用状況入力,"テキスト入力でAIの利用状況を記載"
1,,,FN005,組織名入力,"テキスト入力で組織名を記載。未入力時は「未設定」をデフォルト"
2,US002,ユーザーはAIガバナンス診断ができる,FN006,診断質問表示,"25問をステップバイステップで1問ずつ表示。プログレスバー（5/25回答済み等）付き"
2,,,FN007,質問ヘルプテキスト,"各質問に「この質問は○○について聞いています」のヘルプテキスト表示"
2,,,FN008,回答選択,"各質問に対してラジオボタンで0-4の5段階回答。選択肢のラベル表示"
2,,,FN009,回答の一時保存,"session_stateに回答を保存。ページ遷移しても回答が消えない"
2,,,FN010,診断実行,"25問全回答後に成熟度スコア（1.0-5.0）を算出。カテゴリ別スコアも算出"
2,,,FN011,ギャップ分析実行,"診断結果に基づき28要件のFit/Gap自動判定。充足/部分/未充足に分類"
3,US003,ユーザーは診断結果をダッシュボードで確認できる,FN012,成熟度スコア表示,"スコアを大きく表示。色分け（赤:0-2.0/黄:2.0-3.0/緑:3.0+）。凡例付き"
3,,,FN013,対応状況サマリー,"OK/注意/要対応の件数をメトリクスカードで表示"
3,,,FN014,対応率表示,"全要件に対する充足率をパーセントで表示"
3,,,FN015,カテゴリ別スコア,"10カテゴリ別のスコアをプログレスバーで表示"
3,,,FN016,次にやるべきこと,"優先度が高い上位3件の改善項目を表示。各項目に「この文書を自動生成する」ボタン"
3,,,FN017,フローステッパー,"診断→修復→確認→完了の4段階進捗を視覚的に表示"
4,US004,ユーザーは改善が必要な項目を確認できる,FN018,Gap一覧表示,"28要件を充足(緑)/部分(黄)/未充足(赤)で色分け表示。Expanderで詳細展開"
4,,,FN019,フィルタ機能,"「全て」「要対応のみ」「注意のみ」「OKのみ」で絞り込み"
4,,,FN020,問題の説明,"各要件の未充足理由を1-2文で表示"
4,,,FN021,改善アクション表示,"各要件の具体的な改善ステップを表示"
4,,,FN022,必要証拠書類表示,"各要件に必要なエビデンスの例を表示"
5,US005,ユーザーは自動修復で文書を生成できる,FN023,個別自動修復,"各要件の「自動修復」ボタンで該当要件の雛形文書を自動生成"
5,,,FN024,一括自動修復,"「全て修復を開始する」ボタンで28件一括生成。プログレスバー表示"
5,,,FN025,雛形文書生成,"28要件それぞれに対応するA4 2ページ相当の方針書/手順書/チェックリストを自動生成"
5,,,FN026,組織情報自動反映,"生成文書に組織名/業種/日付を自動埋め込み"
5,,,FN027,タスクリスト生成,"各要件の実行タスク（担当者ロール/期限日数/依存関係）を自動生成"
5,,,FN028,セルフチェック生成,"各要件の対応完了確認用チェック質問を自動生成"
6,US006,ユーザーは生成された文書を編集・承認できる,FN029,文書プレビュー,"生成された文書をMarkdownレンダリングで表示"
6,,,FN030,文書編集,"テキストエリアで文書内容を編集。保存/キャンセル"
6,,,FN031,文書承認,"「承認する」ボタンでステータスをdraft→approvedに変更"
6,,,FN032,承認済み表示,"承認済み文書に「承認済み」バッジ表示"
6,,,FN033,個別ダウンロード,"各文書をMarkdownファイルとしてダウンロード"
6,,,FN034,一括ダウンロード,"全生成文書をまとめて1つのMarkdownファイルとしてダウンロード"
6,,,FN035,対応完了マーク,"各要件に「対応完了にする」ボタン。押すと対応率に反映"
7,US007,ユーザーはAIアドバイザーに質問できる,FN036,チャットUI,"チャット形式の対話インターフェース。入力欄+送信ボタン"
7,,,FN037,サジェストボタン,"3つの質問例をボタンで表示（「リスクアセスメントのやり方」等）"
7,,,FN038,AI回答生成,"Anthropic API（Claude）で組織コンテキストを踏まえた回答生成"
7,,,FN039,FAQフォールバック,"APIキー未設定時はFAQベースの定型回答を返す"
7,,,FN040,会話履歴,"過去の質問・回答を時系列で表示。「会話をクリア」ボタン"
8,US008,ユーザーはAIシステム台帳を管理できる,FN041,AIシステム登録,"システム名/種別/ベンダー/部門/リスクレベルを入力して登録"
8,,,FN042,AIシステム一覧,"登録済みAIシステムをリスクレベル別に色分け表示"
8,,,FN043,リスク自動分類,"入力情報からEU AI Act準拠のリスクレベル（高/限定的/最小）を自動判定"
9,US009,ユーザーは組織設定を変更できる,FN044,組織情報編集,"組織名/業種/規模/AI利用状況を変更可能"
9,,,FN045,データリセット,"全診断データをリセットする機能。確認ダイアログ付き"
10,US010,ユーザーは全文書を一括ダウンロードできる,FN046,Markdownエクスポート,"全生成文書を1つのMarkdownファイルにまとめてダウンロード"
